P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
4.5	15	0.0009989	62.79	67.28	0.2238	liquid	1001.101211
6.5	20	0.0009989	83.52	90.01	0.2951	liquid	1001.101211
2.2	5	0.000999	21.01	23.21	0.07621	liquid	1001.001001
9	25	0.000999	104.1	113.1	0.3649	liquid	1001.001001
2	5	0.0009991	21.01	23.01	0.07622	liquid	1000.900811
2.2	0	0.0009991	0.002002	2.2	-0.00001	liquid	1000.900811
4	15	0.0009991	62.8	66.8	0.2239	liquid	1000.900811
6	20	0.0009991	83.55	89.54	0.2952	liquid	1000.900811
12	30	0.0009991	124.6	136.6	0.4331	liquid	1000.900811
16	35	0.0009991	145	160.9	0.4995	liquid	1000.900811
1.8	5	0.0009992	21.01	22.81	0.07622	liquid	1000.800641
2	0	0.0009992	-0.00838	1.99	-0.00003	liquid	1000.800641
2.5	10	0.0009992	41.96	44.46	0.1509	liquid	1000.800641
20	40	0.0009992	165.2	185.2	0.5646	liquid	1000.800641
25	45	0.0009992	185.2	210.2	0.628	liquid	1000.800641
1.6	5	0.0009993	21.01	22.61	0.07622	liquid	1000.70049
1.8	0	0.0009993	-0.008722	1.79	-0.00004	liquid	1000.70049
2.2	10	0.0009993	41.96	44.16	0.1509	liquid	1000.70049
3.5	15	0.0009993	62.82	66.32	0.2239	liquid	1000.70049
5.5	20	0.0009993	83.58	89.08	0.2953	liquid	1000.70049
30	50	0.0009993	205.1	235.1	0.6901	liquid	1000.70049
1.4	5	0.0009994	21.01	22.41	0.07623	liquid	1000.60036
1.5	5	0.0009994	21.01	22.51	0.07623	liquid	1000.60036
1.6	0	0.0009994	-0.00904	1.59	-0.00005	liquid	1000.60036
2	10	0.0009994	41.97	43.97	0.1509	liquid	1000.60036
8	25	0.0009994	104.2	112.2	0.3651	liquid	1000.60036
1.1	5	0.0009995	21.01	22.11	0.07623	liquid	1000.50025
1.2	5	0.0009995	21.01	22.21	0.07623	liquid	1000.50025
1.3	5	0.0009995	21.01	22.31	0.07623	liquid	1000.50025
1.4	0	0.0009995	-0.0193	1.38	-0.00006	liquid	1000.50025
1.5	0	0.0009995	-0.01918	1.48	-0.00006	liquid	1000.50025
1.8	10	0.0009995	41.97	43.77	0.1509	liquid	1000.50025
15	35	0.0009995	145.1	160.1	0.4999	liquid	1000.50025
0.9	5	0.0009996	21.01	21.91	0.07624	liquid	1000.40016
1	5	0.0009996	21.01	22.01	0.07624	liquid	1000.40016
1.2	0	0.0009996	-0.01952	1.18	-0.00008	liquid	1000.40016
1.3	0	0.0009996	-0.01942	1.28	-0.00007	liquid	1000.40016
1.5	10	0.0009996	41.98	43.48	0.151	liquid	1000.40016
1.6	10	0.0009996	41.98	43.58	0.1509	liquid	1000.40016
3	15	0.0009996	62.85	65.85	0.224	liquid	1000.40016
5	20	0.0009996	83.61	88.61	0.2954	liquid	1000.40016
7.5	25	0.0009996	104.3	111.8	0.3653	liquid	1000.40016
11	30	0.0009996	124.7	135.7	0.4334	liquid	1000.40016
0.7	5	0.0009997	21.02	21.72	0.07624	liquid	1000.30009
0.75	5	0.0009997	21.02	21.77	0.07624	liquid	1000.30009
