P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
14	1500	0.05869	5118	5940	8.556	vapor	17.0386778
18	2000	0.05875	6315	7373	9.15	vapor	17.0212766
3.5	250	0.05876	2624	2830	6.176	vapor	17.01837985
4	300	0.05887	2726	2962	6.364	vapor	16.9865806
5	410	0.05896	2926	3221	6.684	vapor	16.96065129
5.5	470	0.0592	3032	3358	6.835	vapor	16.89189189
9	900	0.05956	3830	4366	7.68	vapor	16.78979181
13	1400	0.05956	4891	5665	8.431	vapor	16.78979181
4.5	360	0.05973	2838	3107	6.556	vapor	16.74200569
8	780	0.05979	3597	4075	7.473	vapor	16.72520488
7.5	720	0.0599	3484	3933	7.363	vapor	16.69449082
7	660	0.06	3373	3793	7.249	vapor	16.66666667
5	420	0.06007	2945	3245	6.72	vapor	16.64724488
6.5	600	0.0601	3264	3655	7.129	vapor	16.63893511
6	540	0.06016	3157	3518	7.002	vapor	16.62234043
5.5	480	0.06017	3051	3382	6.867	vapor	16.61957786
16	1800	0.0602	5826	6790	8.936	vapor	16.61129568
4	310	0.06047	2748	2989	6.412	vapor	16.53712585
12	1300	0.06057	4668	5395	8.301	vapor	16.50982334
9	920	0.06064	3870	4416	7.722	vapor	16.49076517
3.5	260	0.06089	2650	2863	6.239	vapor	16.42305797
8	800	0.06101	3636	4124	7.518	vapor	16.39075561
4.5	370	0.06102	2858	3132	6.595	vapor	16.38806949
5.5	490	0.06113	3069	3405	6.898	vapor	16.35858008
5	430	0.06116	2964	3270	6.754	vapor	16.35055592
7.5	740	0.06122	3522	3981	7.411	vapor	16.3345312
7	680	0.06143	3411	3841	7.299	vapor	16.27869119
6.5	620	0.06165	3301	3702	7.182	vapor	16.22060016
9	940	0.06171	3910	4466	7.764	vapor	16.20482904
11	1200	0.06176	4450	5130	8.167	vapor	16.19170984
6	560	0.06188	3194	3565	7.059	vapor	16.16031028
4	320	0.06202	2768	3016	6.458	vapor	16.12383102
14	1600	0.06205	5351	6220	8.71	vapor	16.11603546
5.5	500	0.06209	3087	3429	6.929	vapor	16.10565308
17	2000	0.06218	6316	7373	9.177	vapor	16.08234159
8	820	0.06223	3675	4173	7.564	vapor	16.06941989
5	440	0.06225	2982	3293	6.788	vapor	16.06425703
4.5	380	0.06229	2877	3157	6.634	vapor	16.05394124
7.5	760	0.06253	3560	4029	7.458	vapor	15.99232368
9	960	0.06278	3951	4516	7.805	vapor	15.92863969
7	700	0.06285	3448	3888	7.349	vapor	15.91089897
3.5	270	0.0629	2674	2894	6.297	vapor	15.89825119
10	1100	0.06318	4238	4870	8.029	vapor	15.82779361
13	1500	0.06318	5120	5941	8.591	vapor	15.82779361
6.5	640	0.0632	3338	3749	7.235	vapor	15.82278481
5	450	0.06332	3001	3317	6.821	vapor	15.79279848
8	840	0.06345	3714	4222	7.608	vapor	15.76044129
4	330	0.06354	2788	3043	6.501	vapor	15.73811772
4.5	390	0.06354	2895	3181	6.671	vapor	15.73811772
6	580	0.06358	3230	3612	7.115	vapor	15.72821642
7.5	780	0.06384	3599	4078	7.504	vapor	15.6641604
9	980	0.06385	3991	4566	7.845	vapor	15.66170713
5.5	520	0.06398	3124	3476	6.989	vapor	15.62988434
15	1800	0.06418	5827	6790	8.967	vapor	15.58117794
7	720	0.06426	3486	3936	7.397	vapor	15.56178027
5	460	0.06439	3019	3341	6.854	vapor	15.53036186
12	1400	0.06451	4892	5666	8.469	vapor	15.50147264
8	860	0.06466	3753	4271	7.652	vapor	15.46551191
6.5	660	0.06474	3376	3796	7.286	vapor	15.44640099
4.5	400	0.06477	2914	3206	6.707	vapor	15.43924656
3.5	280	0.06482	2696	2923	6.35	vapor	15.42733724
9	1000	0.06492	4032	4617	7.886	vapor	15.40357363
4	340	0.06502	2808	3068	6.544	vapor	15.37988311
7.5	800	0.06514	3638	4126	7.55	vapor	15.35155051
6	600	0.06527	3267	3659	7.169	vapor	15.32097441
5	470	0.06545	3037	3364	6.885	vapor	15.27883881
7	740	0.06567	3524	3984	7.445	vapor	15.22765342
5.5	540	0.06585	3161	3523	7.047	vapor	15.18602885
8	880	0.06587	3793	4320	7.695	vapor	15.18141794
4.5	410	0.06599	2933	3230	6.743	vapor	15.15381118
16	2000	0.06604	6317	7373	9.205	vapor	15.14233798
11	1300	0.06607	4670	5396	8.342	vapor	15.13546239
6.5	680	0.06627	3413	3844	7.336	vapor	15.08978422
7.5	820	0.06644	3677	4175	7.595	vapor	15.05117399
4	350	0.06647	2827	3093	6.584	vapor	15.04438092
5	480	0.0665	3055	3388	6.917	vapor	15.03759398
3	233.9	0.06666	2603	2803	6.186	saturated vapor	15.00150015
3.5	290	0.06666	2718	2951	6.401	vapor	15.00150015
13	1600	0.0668	5352	6221	8.744	vapor	14.97005988
6	620	0.06694	3304	3706	7.222	vapor	14.93875112
7	760	0.06707	3562	4032	7.492	vapor	14.90979574
8	900	0.06708	3833	4369	7.737	vapor	14.90757305
4.5	420	0.0672	2951	3254	6.777	vapor	14.88095238
5	490	0.06755	3074	3411	6.948	vapor	14.803849
5.5	560	0.06771	3197	3569	7.104	vapor	14.76886723
7.5	840	0.06773	3716	4224	7.639	vapor	14.76450613
6.5	700	0.06779	3451	3891	7.385	vapor	14.75143827
4	360	0.0679	2846	3118	6.624	vapor	14.7275405
10	1200	0.06794	4452	5132	8.213	vapor	14.71886959
3	240	0.06823	2620	2825	6.227	vapor	14.65630954
8	920	0.06829	3873	4419	7.779	vapor	14.64343242
4.5	430	0.06839	2969	3277	6.811	vapor	14.62202076
12	1500	0.06843	5121	5942	8.628	vapor	14.61347362
3.5	300	0.06845	2739	2978	6.448	vapor	14.6092038
7	780	0.06847	3601	4080	7.538	vapor	14.60493647
5	500	0.06858	3092	3435	6.978	vapor	14.58151064
6	640	0.06861	3341	3753	7.275	vapor	14.57513482
14	1800	0.06874	5828	6791	8.999	vapor	14.54757056
7.5	860	0.06902	3755	4273	7.683	vapor	14.48855404
6.5	720	0.0693	3488	3939	7.434	vapor	14.43001443
4	370	0.06931	2865	3143	6.662	vapor	14.42793248
8	940	0.06949	3913	4469	7.821	vapor	14.39055979
5.5	580	0.06955	3234	3616	7.159	vapor	14.37814522
4.5	440	0.06958	2988	3301	6.844	vapor	14.37194596
7	800	0.06986	3639	4128	7.584	vapor	14.31434297
3.5	310	0.07019	2759	3005	6.494	vapor	14.24704374
9	1100	0.07022	4241	4873	8.079	vapor	14.24095699
6	660	0.07026	3378	3800	7.326	vapor	14.23284942
7.5	880	0.07031	3794	4322	7.726	vapor	14.22272792
11	1400	0.07036	4894	5668	8.51	vapor	14.21262081
15	2000	0.07041	6317	7374	9.235	vapor	14.20252805
3	250	0.07063	2645	2857	6.289	vapor	14.15828968
5	520	0.07064	3128	3481	7.038	vapor	14.15628539
8	960	0.07069	3953	4519	7.862	vapor	14.14627246
4	380	0.0707	2884	3167	6.699	vapor	14.14427157
4.5	450	0.07076	3006	3324	6.877	vapor	14.13227812
6.5	740	0.07081	3526	3987	7.481	vapor	14.12229911
7	820	0.07124	3678	4177	7.628	vapor	14.03705783
5.5	600	0.07137	3270	3663	7.213	vapor	14.01148942
7.5	900	0.07159	3834	4371	7.768	vapor	13.96843135
8	980	0.07188	3994	4569	7.902	vapor	13.91207568
3.5	320	0.07189	2779	3031	6.538	vapor	13.91014049
6	680	0.07191	3416	3847	7.376	vapor	13.90627173
4.5	460	0.07192	3024	3348	6.909	vapor	13.90433815
4	390	0.07207	2902	3191	6.736	vapor	13.87539892
6.5	760	0.07231	3564	4035	7.528	vapor	13.82934587
12	1600	0.07234	5353	6222	8.782	vapor	13.82361073
7	840	0.07262	3717	4226	7.673	vapor	13.77031121
10	1300	0.07267	4671	5398	8.387	vapor	13.76083666
5	540	0.07268	3164	3528	7.095	vapor	13.75894331
7.5	920	0.07288	3874	4421	7.81	vapor	13.72118551
3	260	0.0729	2668	2886	6.346	vapor	13.71742112
4.5	470	0.07308	3042	3371	6.941	vapor	13.68363437
8	1000	0.07308	4035	4620	7.942	vapor	13.68363437
5.5	620	0.07319	3307	3710	7.266	vapor	13.66306873
4	400	0.07343	2921	3215	6.771	vapor	13.61841209
6	700	0.07355	3453	3894	7.425	vapor	13.59619307
3.5	330	0.07356	2798	3056	6.58	vapor	13.59434475
6.5	780	0.07381	3603	4083	7.574	vapor	13.54829969
7	860	0.074	3757	4275	7.716	vapor	13.51351351
13	1800	0.074	5829	6791	9.034	vapor	13.51351351
7.5	940	0.07415	3914	4471	7.852	vapor	13.48617667
4.5	480	0.07424	3060	3394	6.972	vapor	13.46982759
11	1500	0.07463	5122	5943	8.669	vapor	13.39943722
5	560	0.0747	3201	3574	7.152	vapor	13.38688086
4	410	0.07478	2939	3238	6.806	vapor	13.37255951
5.5	640	0.07499	3344	3756	7.318	vapor	13.33511135
3	270	0.07507	2690	2915	6.399	vapor	13.32090049
6	720	0.07518	3491	3942	7.473	vapor	13.30140995
3.5	340	0.07519	2817	3080	6.621	vapor	13.29964091
6.5	800	0.0753	3641	4131	7.62	vapor	13.28021248
4.5	490	0.07538	3078	3417	7.002	vapor	13.26611833
7	880	0.07538	3796	4324	7.759	vapor	13.26611833
14	2000	0.0754	6318	7374	9.267	vapor	13.26259947
7.5	960	0.07543	3955	4521	7.892	vapor	13.25732467
9	1200	0.07549	4454	5134	8.263	vapor	13.24678765
4	420	0.07611	2957	3262	6.84	vapor	13.13887794
4.5	500	0.07652	3096	3440	7.032	vapor	13.06847883
7.5	980	0.0767	3995	4571	7.933	vapor	13.03780965
5	580	0.07671	3237	3620	7.207	vapor	13.03611002
7	900	0.07675	3836	4373	7.801	vapor	13.02931596
5.5	660	0.07679	3381	3803	7.369	vapor	13.02252898
6.5	820	0.07679	3680	4179	7.664	vapor	13.02252898
3.5	350	0.0768	2836	3105	6.66	vapor	13.02083333
6	740	0.0768	3528	3989	7.52	vapor	13.02083333
3	280	0.07716	2711	2942	6.449	vapor	12.96008294
10	1400	0.07737	4895	5669	8.554	vapor	12.92490629
4	430	0.07743	2975	3285	6.874	vapor	12.91489087
7.5	1000	0.07798	4036	4621	7.973	vapor	12.82380097
7	920	0.07812	3876	4422	7.843	vapor	12.80081925
6.5	840	0.07827	3719	4228	7.708	vapor	12.77628721
3.5	360	0.07839	2855	3129	6.698	vapor	12.75672917
6	760	0.07842	3566	4037	7.567	vapor	12.75184902
5.5	680	0.07857	3418	3850	7.418	vapor	12.72750414
5	600	0.0787	3273	3667	7.261	vapor	12.7064803
4	440	0.07874	2993	3308	6.906	vapor	12.7000254
4.5	520	0.07878	3132	3487	7.091	vapor	12.69357705
11	1600	0.07889	5355	6222	8.823	vapor	12.6758778
8	1100	0.07903	4243	4875	8.135	vapor	12.65342275
3	290	0.0792	2731	2969	6.496	vapor	12.62626263
7	940	0.07949	3916	4472	7.885	vapor	12.58019877
6.5	860	0.07975	3758	4277	7.752	vapor	12.53918495
2.5	224	0.07995	2602	2802	6.256	saturated vapor	12.50781739
3.5	370	0.07996	2873	3153	6.736	vapor	12.50625313
4	450	0.08004	3011	3331	6.939	vapor	12.49375312
6	780	0.08004	3605	4085	7.613	vapor	12.49375312
12	1800	0.08013	5830	6792	9.071	vapor	12.47972045
5.5	700	0.08035	3455	3897	7.467	vapor	12.44555072
5	620	0.08069	3310	3713	7.313	vapor	12.39310943
9	1300	0.08073	4673	5400	8.437	vapor	12.38696891
7	960	0.08085	3956	4522	7.925	vapor	12.3685838
4.5	540	0.08103	3168	3533	7.149	vapor	12.34110823
13	2000	0.08117	6319	7374	9.302	vapor	12.31982259
3	300	0.08118	2751	2994	6.541	vapor	12.318305
6.5	880	0.08123	3798	4326	7.795	vapor	12.31072264
4	460	0.08134	3029	3354	6.97	vapor	12.29407426
3.5	380	0.08151	2891	3176	6.772	vapor	12.26843332
6	800	0.08165	3643	4133	7.658	vapor	12.24739743
2.5	230	0.0817	2618	2822	6.296	vapor	12.23990208
10	1500	0.08207	5123	5944	8.714	vapor	12.18472036
5.5	720	0.08212	3493	3945	7.515	vapor	12.17730151
7	980	0.08221	3997	4572	7.966	vapor	12.16397032
4	470	0.08262	3047	3377	7.002	vapor	12.10360687
5	640	0.08266	3347	3760	7.365	vapor	12.09774982
6.5	900	0.0827	3837	4375	7.837	vapor	12.09189843
3.5	390	0.08304	2909	3200	6.808	vapor	12.04238921
3	310	0.08312	2770	3020	6.585	vapor	12.03079885
4.5	560	0.08325	3204	3579	7.205	vapor	12.01201201
6	820	0.08325	3682	4181	7.703	vapor	12.01201201
7	1000	0.08357	4038	4623	8.006	vapor	11.96601651
5.5	740	0.08389	3531	3992	7.563	vapor	11.92037192
4	480	0.0839	3065	3400	7.032	vapor	11.91895113
6.5	920	0.08417	3877	4424	7.879	vapor	11.8807176
7.5	1100	0.08431	4244	4876	8.166	vapor	11.86098921
2.5	240	0.08445	2641	2852	6.356	vapor	11.84132623
3.5	400	0.08456	2927	3223	6.843	vapor	11.82592242
5	660	0.08462	3383	3807	7.415	vapor	11.81753723
6	840	0.08486	3721	4230	7.747	vapor	11.78411501
8	1200	0.08493	4456	5136	8.318	vapor	11.77440245
3	320	0.08502	2789	3044	6.627	vapor	11.76193837
4	490	0.08518	3082	3423	7.062	vapor	11.73984503
4.5	580	0.08546	3240	3625	7.259	vapor	11.70138076
6.5	940	0.08564	3917	4474	7.92	vapor	11.67678655
5.5	760	0.08565	3569	4040	7.609	vapor	11.67542323
9	1400	0.08595	4896	5670	8.604	vapor	11.63467132
3.5	410	0.08606	2945	3246	6.877	vapor	11.61980014
4	500	0.08644	3100	3446	7.092	vapor	11.56871819
6	860	0.08645	3760	4279	7.79	vapor	11.56737999
5	680	0.08657	3420	3853	7.465	vapor	11.55134573
10	1600	0.08675	5356	6223	8.867	vapor	11.52737752
3	330	0.08689	2808	3068	6.667	vapor	11.50880424
2.5	250	0.08705	2663	2881	6.411	vapor	11.48765078
6.5	960	0.0871	3957	4524	7.961	vapor	11.48105626
11	1800	0.08738	5831	6792	9.112	vapor	11.44426642
5.5	780	0.0874	3607	4087	7.655	vapor	11.4416476
3.5	420	0.08756	2963	3269	6.91	vapor	11.42074006
4.5	600	0.08766	3276	3671	7.313	vapor	11.40771161
12	2000	0.08789	6319	7374	9.339	vapor	11.37785869
6	880	0.08805	3799	4328	7.833	vapor	11.35718342
5	700	0.08852	3458	3900	7.514	vapor	11.29688206
6.5	980	0.08857	3998	4574	8.001	vapor	11.29050469
3	340	0.08874	2826	3092	6.707	vapor	11.26887537
4	520	0.08896	3136	3492	7.151	vapor	11.24100719
3.5	430	0.08904	2981	3292	6.943	vapor	11.23090746
5.5	800	0.08915	3645	4135	7.7	vapor	11.21704992
2.5	260	0.08956	2684	2908	6.463	vapor	11.16569897
6	900	0.08964	3839	4377	7.875	vapor	11.15573405
4.5	620	0.08985	3313	3717	7.365	vapor	11.12966055
6.5	1000	0.09003	4039	4624	8.041	vapor	11.10740864
7	1100	0.09034	4245	4877	8.198	vapor	11.06929378
5	720	0.09046	3495	3947	7.562	vapor	11.05460977
3.5	440	0.09051	2998	3315	6.976	vapor	11.04850293
3	350	0.09056	2844	3116	6.745	vapor	11.04240283
7.5	1200	0.0906	4457	5137	8.349	vapor	11.03752759
2.2	217.2	0.0907	2601	2800	6.304	saturated vapor	11.02535832
8	1300	0.09082	4674	5401	8.492	vapor	11.01079057
5.5	820	0.0909	3684	4184	7.745	vapor	11.00110011
9	1500	0.09116	5124	5945	8.763	vapor	10.96972356
6	920	0.09123	3879	4426	7.917	vapor	10.96130659
4	540	0.09146	3172	3538	7.208	vapor	10.93374153
2.2	220	0.09159	2608	2809	6.322	vapor	10.91822251
3.5	450	0.09198	3016	3338	7.007	vapor	10.87192868
2.5	270	0.09199	2705	2935	6.511	vapor	10.87074682
4.5	640	0.09202	3349	3763	7.416	vapor	10.86720278
3	360	0.09236	2862	3140	6.782	vapor	10.82719792
5	740	0.09239	3533	3995	7.609	vapor	10.82368222
5.5	840	0.09264	3722	4232	7.788	vapor	10.79447323
6	940	0.09282	3919	4476	7.958	vapor	10.77354019
3.5	460	0.09344	3034	3361	7.039	vapor	10.70205479
4	560	0.09394	3207	3583	7.263	vapor	10.64509261
3	370	0.09413	2880	3163	6.819	vapor	10.62360565
4.5	660	0.09419	3386	3810	7.467	vapor	10.61683831
5	760	0.09432	3571	4042	7.655	vapor	10.60220526
2.5	280	0.09436	2724	2960	6.558	vapor	10.59771089
5.5	860	0.09438	3762	4281	7.832	vapor	10.59546514
6	960	0.0944	3959	4525	7.999	vapor	10.59322034
2.2	230	0.09467	2631	2839	6.383	vapor	10.56300834
3.5	470	0.09489	3052	3384	7.07	vapor	10.53851828
11	2000	0.09584	6320	7374	9.38	vapor	10.43405676
3	380	0.0959	2898	3186	6.854	vapor	10.42752868
6	980	0.09598	3999	4575	8.039	vapor	10.41883726
10	1800	0.09607	5832	6792	9.156	vapor	10.40907671
5.5	880	0.09611	3801	4329	7.874	vapor	10.40474456
5	780	0.09624	3609	4090	7.701	vapor	10.39068994
3.5	480	0.09633	3069	3406	7.1	vapor	10.38098204
4.5	680	0.09635	3423	3857	7.516	vapor	10.37882719
9	1600	0.09635	5357	6224	8.916	vapor	10.37882719
4	580	0.09641	3243	3629	7.317	vapor	10.37236801
2.5	290	0.09667	2743	2985	6.603	vapor	10.34447088
8	1400	0.09668	4898	5671	8.659	vapor	10.34340091
7.5	1300	0.09687	4675	5402	8.523	vapor	10.32311345
7	1200	0.09707	4458	5137	8.381	vapor	10.30184403
6.5	1100	0.09731	4246	4879	8.233	vapor	10.27643613
6	1000	0.09756	4040	4625	8.079	vapor	10.2501025
2.2	240	0.09759	2653	2868	6.438	vapor	10.24695153
3	390	0.09765	2916	3209	6.889	vapor	10.2406554
3.5	490	0.09776	3087	3429	7.13	vapor	10.22913257
5.5	900	0.09784	3840	4378	7.917	vapor	10.2207686
5	800	0.09816	3647	4138	7.746	vapor	10.18744906
4.5	700	0.0985	3460	3903	7.565	vapor	10.15228426
4	600	0.09886	3279	3675	7.371	vapor	10.11531459
2.5	300	0.09894	2762	3010	6.646	vapor	10.10713564
3.5	500	0.0992	3104	3452	7.159	vapor	10.08064516
3	400	0.09938	2934	3232	6.923	vapor	10.0623868
5.5	920	0.09957	3880	4428	7.958	vapor	10.0431857
2	212.4	0.09959	2599	2798	6.339	saturated vapor	10.04116879
5	820	0.1001	3685	4186	7.79	vapor	9.99000999
2.2	250	0.1004	2674	2895	6.49	vapor	9.960159363
4.5	720	0.1006	3497	3950	7.612	vapor	9.940357853
3	410	0.1011	2951	3254	6.957	vapor	9.891196835
2.5	310	0.1012	2781	3034	6.688	vapor	9.881422925
4	620	0.1013	3316	3721	7.423	vapor	9.871668312
5.5	940	0.1013	3920	4477	7.999	vapor	9.871668312
3.5	520	0.102	3140	3497	7.217	vapor	9.803921569
5	840	0.102	3724	4234	7.834	vapor	9.803921569
2	220	0.1022	2617	2822	6.387	vapor	9.784735812
8	1500	0.1025	5126	5946	8.818	vapor	9.756097561
3	420	0.1028	2969	3277	6.99	vapor	9.727626459
4.5	740	0.1028	3535	3997	7.659	vapor	9.727626459
5.5	960	0.103	3960	4527	8.04	vapor	9.708737864
2.2	260	0.1031	2694	2921	6.54	vapor	9.699321048
7.5	1400	0.1031	4899	5672	8.689	vapor	9.699321048
2.5	320	0.1034	2799	3057	6.728	vapor	9.671179884
4	640	0.1037	3352	3767	7.474	vapor	9.643201543
7	1300	0.1038	4676	5403	8.555	vapor	9.633911368
5	860	0.1039	3763	4283	7.877	vapor	9.624639076
3	430	0.1045	2986	3300	7.022	vapor	9.56937799
6.5	1200	0.1046	4459	5138	8.416	vapor	9.560229446
5.5	980	0.1047	4001	4577	8.08	vapor	9.551098376
3.5	540	0.1049	3175	3542	7.274	vapor	9.532888465
4.5	760	0.1049	3573	4045	7.706	vapor	9.532888465
2	230	0.1054	2639	2850	6.444	vapor	9.487666034
6	1100	0.1054	4247	4880	8.271	vapor	9.487666034
10	2000	0.1054	6321	7375	9.424	vapor	9.487666034
2.5	330	0.1055	2817	3081	6.767	vapor	9.478672986
2.2	270	0.1058	2713	2946	6.587	vapor	9.451795841
5	880	0.1058	3802	4331	7.92	vapor	9.451795841
3	440	0.1062	3004	3322	7.054	vapor	9.416195857
4	660	0.1062	3389	3813	7.524	vapor	9.416195857
5.5	1000	0.1065	4041	4627	8.12	vapor	9.389671362
9	1800	0.1067	5833	6793	9.205	vapor	9.372071228
4.5	780	0.107	3611	4092	7.751	vapor	9.345794393
2.5	340	0.1077	2835	3104	6.805	vapor	9.285051068
3.5	560	0.1077	3211	3588	7.329	vapor	9.285051068
5	900	0.1077	3842	4380	7.962	vapor	9.285051068
3	450	0.1079	3021	3345	7.086	vapor	9.267840593
2.2	280	0.1084	2732	2971	6.632	vapor	9.225092251
8	1600	0.1084	5358	6225	8.971	vapor	9.225092251
2	240	0.1085	2660	2877	6.497	vapor	9.216589862
4	680	0.1086	3425	3860	7.573	vapor	9.208103131
4.5	800	0.1092	3649	4140	7.796	vapor	9.157509158
7.5	1500	0.1093	5126	5946	8.849	vapor	9.149130833
3	460	0.1096	3039	3367	7.117	vapor	9.124087591
5	920	0.1096	3882	4429	8.003	vapor	9.124087591
2.5	350	0.1098	2853	3127	6.842	vapor	9.107468124
1.8	207.1	0.1104	2597	2796	6.378	saturated vapor	9.057971014
3.5	580	0.1105	3247	3633	7.383	vapor	9.049773756
7	1400	0.1105	4899	5673	8.721	vapor	9.049773756
2.2	290	0.1109	2751	2995	6.675	vapor	9.017132552
4	700	0.111	3462	3906	7.621	vapor	9.009009009
3	470	0.1112	3056	3390	7.147	vapor	8.992805755
4.5	820	0.1113	3687	4188	7.84	vapor	8.984725966
1.8	210	0.1115	2604	2805	6.396	vapor	8.968609865
2	250	0.1115	2680	2903	6.548	vapor	8.968609865
5	940	0.1115	3921	4479	8.045	vapor	8.968609865
6.5	1300	0.1118	4677	5403	8.59	vapor	8.944543828
2.5	360	0.1119	2870	3150	6.879	vapor	8.936550492
3	480	0.1129	3074	3412	7.177	vapor	8.857395926
3.5	600	0.1133	3283	3679	7.436	vapor	8.826125331
6	1200	0.1133	4460	5139	8.453	vapor	8.826125331
2.2	300	0.1134	2769	3018	6.717	vapor	8.818342152
4	720	0.1134	3500	3953	7.669	vapor	8.818342152
4.5	840	0.1134	3726	4236	7.884	vapor	8.818342152
5	960	0.1134	3962	4528	8.085	vapor	8.818342152
2.5	370	0.114	2888	3173	6.914	vapor	8.771929825
2	260	0.1144	2700	2929	6.595	vapor	8.741258741
3	490	0.1146	3091	3435	7.207	vapor	8.72600349
5.5	1100	0.115	4248	4881	8.312	vapor	8.695652174
1.8	220	0.1151	2626	2834	6.455	vapor	8.688097307
5	980	0.1153	4002	4578	8.125	vapor	8.673026886
4.5	860	0.1155	3765	4285	7.927	vapor	8.658008658
7.5	1600	0.1156	5358	6225	9.001	vapor	8.650519031
4	740	0.1158	3537	4000	7.716	vapor	8.635578584
2.2	310	0.1159	2787	3042	6.757	vapor	8.628127696
2.5	380	0.116	2905	3195	6.949	vapor	8.620689655
3.5	620	0.116	3319	3725	7.487	vapor	8.620689655
3	500	0.1162	3109	3457	7.236	vapor	8.605851979
9	2000	0.117	6322	7375	9.473	vapor	8.547008547
7	1500	0.1171	5127	5947	8.881	vapor	8.53970965
5	1000	0.1172	4043	4628	8.165	vapor	8.532423208
2	270	0.1173	2719	2953	6.641	vapor	8.52514919
4.5	880	0.1176	3804	4333	7.97	vapor	8.503401361
2.5	390	0.1181	2923	3218	6.983	vapor	8.467400508
4	760	0.1182	3575	4047	7.762	vapor	8.460236887
2.2	320	0.1183	2805	3065	6.797	vapor	8.453085376
1.8	230	0.1185	2647	2861	6.509	vapor	8.438818565
3.5	640	0.1188	3355	3771	7.538	vapor	8.417508418
6.5	1400	0.119	4900	5673	8.756	vapor	8.403361345
3	520	0.1195	3144	3502	7.293	vapor	8.368200837
4.5	900	0.1197	3843	4382	8.012	vapor	8.354218881
8	1800	0.12	5833	6793	9.26	vapor	8.333333333
2	280	0.1201	2737	2977	6.685	vapor	8.326394671
2.5	400	0.1201	2940	3240	7.017	vapor	8.326394671
4	780	0.1205	3613	4095	7.807	vapor	8.298755187
2.2	330	0.1208	2822	3088	6.835	vapor	8.278145695
6	1300	0.1211	4678	5404	8.627	vapor	8.257638315
3.5	660	0.1215	3391	3817	7.588	vapor	8.230452675
1.8	240	0.1218	2667	2887	6.56	vapor	8.210180624
4.5	920	0.1218	3883	4431	8.053	vapor	8.210180624
2.5	410	0.1222	2957	3263	7.05	vapor	8.183306056
3	540	0.1227	3179	3547	7.349	vapor	8.14995925
2	290	0.1228	2755	3001	6.727	vapor	8.143322476
4	800	0.1229	3651	4142	7.852	vapor	8.136696501
2.2	340	0.1231	2840	3111	6.873	vapor	8.123476848
5.5	1200	0.1236	4461	5140	8.494	vapor	8.090614887
1.6	201.4	0.1237	2595	2793	6.42	saturated vapor	8.084074373
7	1600	0.1238	5359	6226	9.034	vapor	8.077544426
4.5	940	0.1239	3923	4481	8.094	vapor	8.07102502
2.5	420	0.1242	2974	3285	7.082	vapor	8.051529791
3.5	680	0.1243	3428	3863	7.637	vapor	8.045052293
1.8	250	0.125	2687	2912	6.609	vapor	8
4	820	0.1253	3689	4190	7.896	vapor	7.98084597
2	300	0.1255	2773	3024	6.768	vapor	7.96812749
2.2	350	0.1255	2857	3133	6.909	vapor	7.96812749
3	560	0.126	3214	3592	7.404	vapor	7.936507937
4.5	960	0.126	3963	4530	8.135	vapor	7.936507937
6.5	1500	0.1261	5128	5947	8.915	vapor	7.930214116
2.5	430	0.1262	2992	3307	7.114	vapor	7.923930269
5	1100	0.1266	4249	4882	8.357	vapor	7.898894155
3.5	700	0.127	3465	3909	7.685	vapor	7.874015748
1.6	210	0.1272	2614	2818	6.472	vapor	7.86163522
4	840	0.1277	3728	4238	7.94	vapor	7.830853563
2.2	360	0.1279	2875	3156	6.945	vapor	7.818608288
7.5	1800	0.128	5834	6794	9.29	vapor	7.8125
4.5	980	0.1281	4003	4580	8.175	vapor	7.806401249
1.8	260	0.1282	2705	2936	6.655	vapor	7.800312012
2	310	0.1282	2791	3047	6.808	vapor	7.800312012
2.5	440	0.1282	3009	3329	7.146	vapor	7.800312012
6	1400	0.1289	4901	5674	8.793	vapor	7.757951901
3	580	0.1292	3250	3638	7.458	vapor	7.73993808
3.5	720	0.1298	3502	3956	7.733	vapor	7.704160247
4	860	0.13	3766	4287	7.983	vapor	7.692307692
2.2	370	0.1302	2892	3178	6.98	vapor	7.680491551
2.5	450	0.1302	3026	3352	7.177	vapor	7.680491551
4.5	1000	0.1302	4044	4630	8.214	vapor	7.680491551
2	320	0.1308	2808	3070	6.847	vapor	7.645259939
1.6	220	0.1311	2635	2845	6.527	vapor	7.627765065
1.8	270	0.1313	2724	2960	6.7	vapor	7.61614623
8	2000	0.1316	6322	7375	9.528	vapor	7.598784195
1.5	198.3	0.1317	2593	2791	6.443	saturated vapor	7.593014427
2.5	460	0.1321	3043	3374	7.207	vapor	7.57002271
5.5	1300	0.1321	4679	5405	8.668	vapor	7.57002271
4	880	0.1324	3806	4335	8.026	vapor	7.552870091
1.5	200	0.1325	2597	2796	6.454	vapor	7.547169811
2.2	380	0.1325	2909	3201	7.015	vapor	7.547169811
3	600	0.1325	3285	3683	7.51	vapor	7.547169811
3.5	740	0.1325	3539	4003	7.78	vapor	7.547169811
6.5	1600	0.1333	5360	6226	9.068	vapor	7.501875469
2	330	0.1334	2826	3093	6.885	vapor	7.496251874
2.5	470	0.1341	3061	3396	7.237	vapor	7.457121551
1.8	280	0.1343	2742	2984	6.743	vapor	7.446016381
1.6	230	0.1348	2655	2871	6.579	vapor	7.418397626
